Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Ratio of Engagement To Post Entered in screen,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",,Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
386724564681370_5128403513846761,https://www.facebook.com/habitatmatthews/posts/5128403513846761,"It's true! To all of our donors, volunteers, partners, and advocates - Happy Valentine's Day!",Video,,,2/14/22 7:50 AM, ,80,80,0,88,88,0,5,6.25,1,1,0,0,68,64,0,0,5,6,6,0,0,29,31,0,0,3907,9844
386724564681370_5119822041371575,https://www.facebook.com/habitatmatthews/posts/5119822041371575,"Today we welcomed representatives from our Faith Partners to the site of our Unity Build to bless and honor the construction of Natalie and her new husband Isaiah's home. Writing scripture, blessings, and warm wishes on the beams of houses as they are being built has long been a Habitat tradition - giving our Faith Partners the opportunities to participate together made this fulfillment of the practice that much more special.",Photo,,,2/11/22 12:34 PM, ,524,524,0,579,579,0,40,7.63,29,32,0,0,279,234,0,0,19,0,0,0,0,0,0,0,0,0,0
386724564681370_5115854821768297,https://www.facebook.com/habitatmatthews/posts/5115854821768297,"Today, we join countless others around the country and lend our voice to amplify the advocacy of more than 500 Habitat staff, board members, homeowners, resident leaders, volunteers, and supporters at #HabitatontheHill for the 2nd ever #VirtualHillDay. We call on Senator Richard Burr, Senator Thom Tillis, Congressman Dan Bishop,  and Congresswoman Alma S. Adams, PhD to prioritize funding for the Community Restoration and Revitalization Fund, as well as funding for housing programs like SHOP, HOMEand USDA 502 in the FY2022 and FY2023 budgets. Making the #CostOfHome affordable enables communities to thrive.",Photo,,,2/10/22 7:11 AM, ,84,84,0,89,89,0,3,3.57,0,0,0,0,69,67,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5115766841777095,https://www.facebook.com/habitatmatthews/posts/5115766841777095,"Construction is an inherently dangerous  activity - and because Habitat homes are built with the help of volunteer labor, safety is our number one priority. Congratulations to our Homeowner Services Manager, Jeffrey Elam, for becoming a Habitat for Humanity Competent Person. He is now trained to identify existing or predictable hazards and has the authorization to take prompt corrective measures to eliminate them - and will be able to pass this information along to our Partner Families as they prepare to work on site. 👷🏾‍♂️🎉",Photo,,,2/10/22 6:40 AM, ,196,196,0,202,202,0,8,4.08,0,0,1,1,177,173,0,0,7,0,0,0,0,0,0,0,0,0,0
386724564681370_5113505255336587,https://www.facebook.com/habitatmatthews/posts/5113505255336587,Thank you to our friends at Elevation Church - Matthews for treating our staff and volunteers to a delicious Chipotle Mexican Grill lunch today!,Photo,,,2/9/22 11:57 AM, ,280,280,0,301,301,0,20,7.14,15,16,0,0,275,252,0,0,20,0,0,0,0,0,0,0,0,0,0
386724564681370_5113498495337263,https://www.facebook.com/habitatmatthews/posts/5113498495337263,"Several churches in Matthews, including many of our Community Partners,  have joined together to talk about topics important to our community, including racial-bridge building, mental health, and more. Their upcoming community forum, featuring author Dr. Lucretia Berry from Davidson, NC, is titled “If We Don’t Keep Them in the Dark, Our Kids Will Light Up the World” and will be held next Tuesday at Matthews United Methodist Church.  The event can also be live-streamed.",Link,,,2/9/22 11:53 AM, ,84,84,0,88,88,0,3,3.57,1,2,0,0,72,68,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5110099609010485,https://www.facebook.com/habitatmatthews/posts/5110099609010485,"Did you know that a used car can help build a new home? Donating your old vehicle to Habitat for Humanity's #CarsForHomes program builds homes in your community and across the country.  Your old car can help families achieve the strength, stability, and self-reliance that homeownership brings.  Turn your old ride into a better life for families in need of a decent place to call home.  Learn more: https://bit.ly/35jq3Kn  #HabitatForHumanity #CarsForHomes #ThroughShelterWeEmpower #NoPlaceLikeHome #TransformingCommunities",Photo,,,2/8/22 9:43 AM, ,100,100,0,101,101,0,2,2.00,1,1,0,0,84,83,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_5106591159361330,https://www.facebook.com/habitatmatthews/posts/5106591159361330,"As the world enters the third year of the COVID-19 pandemic, Habitat for Humanity International CEO Jonathan Reckford shares three strategies to address the lack of safe and affordable housing around the world. Reckford suggests that innovations in housing focused on public health, sustainability and scalability will be needed in order to meaningfully expand the global supply of housing in a post-pandemic world.",Link,,,2/7/22 1:28 PM, ,98,98,0,102,102,0,2,2.04,0,0,0,0,85,82,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_5106625179357928,https://www.facebook.com/habitatmatthews/posts/5106625179357928,Keep your face always toward the sunshine - and shadows will fall behind you. - Walt Whitman,Photo,,,2/7/22 6:35 AM, ,136,136,0,138,138,0,4,2.94,0,0,0,0,110,109,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_5101606486526464,https://www.facebook.com/habitatmatthews/posts/5101606486526464,"Even more than wood or concrete, Greater Matthews Habitat homes are made with love. Thank you to all of you that support our vision of a world where everyone has a decent place to live.",Photo,,,2/5/22 3:09 PM, ,284,284,0,291,291,0,13,4.58,4,4,0,0,256,252,0,0,12,0,0,0,0,0,0,0,0,0,0
